sentence                                     ,tense
I am going to the gym this evening                    ,future
I will have been working at this company for 10 years by next summer  ,future perfect continuous
The birds were chirping outside when I woke up          ,past continuous
He is going to propose to his girlfriend tomorrow       ,future
I will have saved enough money to buy a house by next year  ,future perfect
She is cooking dinner in the kitchen                  ,present continuous
I will be traveling to Japan in the spring              ,future continuous
I have been living in this neighborhood for a decade    ,present perfect continuous
I am enjoying my vacation on the beach                ,present continuous
I will have met my career goals by the end of the decade  ,future perfect
They will be dancing at the party tomorrow night        ,future continuous
I am going to the store later.                        ,future
They will have completed their assignment by Friday.   ,future perfect
She is reading a novel at the moment.                 ,present continuous
He had already finished his meal when I arrived.      ,past perfect
We will be having a barbecue this weekend.            ,future continuous
The sun sets in the evening.                          ,present
I used to play the piano as a child.                 ,past
She will be swimming in the pool tomorrow.            ,future continuous
I have been working on this project for months.       ,present perfect continuous
They were talking on the phone when I called.         ,past continuous
He is giving a speech at the conference today.        ,present continuous
I will have saved enough money for a vacation next summer. ,future perfect
She had traveled to several countries before she turned 30. ,past perfect
We are taking a family vacation next month.           ,future
The company is launching a new product next week.      ,present continuous
I am writing a research paper.                        ,present continuous
They will be hiking in the mountains next weekend.    ,future continuous
She has been practicing the piano for hours.          ,present perfect continuous
I will be sleeping by the time you arrive.           ,future continuous
He had already left when I arrived at the party.     ,past perfect
I am watching a documentary.                         ,present continuous
She will have finished her project by next week.      ,future perfect
We were playing cards when the power went out.       ,past continuous
I am currently reading a novel.                      ,present continuous
She will be traveling to Paris next summer.           ,future continuous
I had finished my homework before dinner.            ,past perfect
They will be attending a conference next month.      ,future continuous
She has been running for an hour.                   ,present perfect continuous
I am meeting my friends for lunch.                   ,present continuous
I will have completed the project by the end of the week. ,future perfect
They were singing when I entered the room.           ,past continuous
She is going to the gym later.                       ,future
I will have been working at this company for 10 years by next summer. ,future perfect continuous
The birds are singing in the garden.                ,present continuous
He will be giving a presentation tomorrow.           ,future continuous
I had visited that museum before.                    ,past perfect
She will have painted the room by the weekend.       ,future perfect
They were playing football when it started raining.   ,past continuous
I am working on a project.                          ,present continuous
I will be moving to a new apartment next month.     ,future continuous
She has been learning Spanish for a year.           ,present perfect continuous
I am reading a fascinating book.                     ,present continuous
I will have saved enough money by the end of the year. ,future perfect
She had been working on her novel for months before it was finally published.          ,past perfect continuous
I am going to have dinner with my friends tonight.                                    ,future
They will be attending a wedding next weekend.                                       ,future continuous
He has been studying French for a year.                                              ,present perfect continuous
We are currently renovating our house.                                              ,present continuous
She will have traveled to five different countries by the end of the year.             ,future perfect
I had completed my homework before the teacher collected it.                           ,past perfect
I am taking a break now.                                                               ,present
She will be swimming in the pool tomorrow.                                            ,future continuous
I have been working on this project for months.                                      ,present perfect continuous
They were talking on the phone when I called.                                        ,past continuous
He is giving a speech at the conference today.                                        ,present continuous
I will have saved enough money for a vacation next summer.                           ,future perfect
She had traveled to several countries before she turned 30.                           ,past perfect
We are taking a family vacation next month.                                           ,future
The company is launching a new product next week.                                     ,present continuous
I am writing a research paper.                                                        ,present continuous
They will be hiking in the mountains next weekend.                                    ,future continuous
She has been practicing the piano for hours.                                        ,present perfect continuous
I will be sleeping by the time you arrive.                                           ,future continuous
He had already left when I arrived at the party.                                      ,past perfect
I am watching a documentary.                                                        ,present continuous
She will have finished her project by next week.                                     ,future perfect
We were playing cards when the power went out.                                      ,past continuous
I am currently reading a novel.                                                    ,present continuous
She will be traveling to Paris next summer.                                        ,future continuous
I had finished my homework before dinner.                                            ,past perfect
They will be attending a conference next month.                                     ,future continuous
She has been running for an hour.                                                ,present perfect continuous
I am meeting my friends for lunch.                                               ,present continuous
I will have completed the project by the end of the week.                            ,future perfect
They were singing when I entered the room.                                          ,past continuous
She is going to the gym later.                                                        ,future
I will have been working at this company for 10 years by next summer.                 ,future perfect continuous
The birds are chirping outside when I woke up.                                      ,past continuous
He is going to propose to his girlfriend tomorrow.                                     ,future
I will have saved enough money to buy a house by next year.                          ,future perfect
She is cooking dinner in the kitchen.                                            ,present continuous
I will be traveling to Japan in the spring.                                          ,future continuous
I have been living in this neighborhood for a decade.                           ,present perfect continuous
I am enjoying my vacation on the beach.                                          ,present continuous
I will have met my career goals by the end of the decade.                            ,future perfect
They will be dancing at the party tomorrow night.                                ,future continuous
She is eating breakfast.                                                             ,present
He will go to the beach tomorrow.                                                    ,future
They watched a movie last night.                                                     ,past
I will be traveling to Europe next year.                                            ,future
She is enjoying her vacation in Hawaii.                                            ,present continuous
He had visited London before.                                                      ,past perfect
We are having a picnic at the park on Saturday.                                       ,future
The sun always rises in the east.                                                 ,present
I used to play the guitar in a band.                                                  ,past
She will be sailing in the regatta next summer.                                    ,future continuous
I have been studying for hours.                                                       ,present perfect continuous
They were dancing when the music stopped.                                         ,past continuous
He is presenting his research at the conference today.                            ,present continuous
I will have completed my degree by next May.                                           ,future perfect
She had already left when we arrived at the airport.                                   ,past perfect
We are going to have a barbecue this weekend.                                          ,future
The company has just launched a new product.                                       ,present perfect
I am currently working on a new project.                                             ,present continuous
They will be skiing in the mountains next weekend.                                   ,future continuous
She has been playing the piano for an hour.                                        ,present perfect continuous
I will be having dinner with friends tonight.                                         ,future continuous
He will have graduated from college by then.                                          ,future perfect
She was attending the conference when I called.                                       ,past continuous
I am meeting my colleague for lunch.                                                 ,present continuous
They will have adopted a rescue dog by the end of the month.                         ,future perfect
The flowers are blooming in the garden.                                              ,present continuous
I am going to the gym this evening.                                                     ,future
She will have saved enough money to buy a car by next year.                           ,future perfect
They were hiking in the mountains when it started raining.                             ,past continuous
I am currently writing a research paper.                                                ,present continuous
I will be visiting my family next weekend.                                          ,future continuous
She has been practicing yoga for years.                                             ,present perfect continuous
I am currently working on a new project.                                             ,present continuous
I will have finished reading the novel by tomorrow.                                  ,future perfect
He will be presenting his art exhibition next month.                                  ,future continuous
She had attended the conference before.                                                ,past perfect
They will have built a new house by the end of the year.                              ,future perfect
The birds are singing in the garden.                                                   ,present continuous
I am currently studying for my exams.                                                ,present continuous
She will be moving to a new city next month.                                           ,future continuous
She has been playing the piano for an hour.                                         ,present perfect continuous
I will go shopping after work.                                                          ,future
I am watching a documentary.                                                           ,present continuous
I will have saved enough money for a car by next year.                               ,future perfect
He will have been working on his PhD for five years by the time he graduates.                ,future perfect continuous
She is planning a surprise party for her best friend's birthday.                            ,present continuous
They will have finished building the new school by the end of the year.                     ,future perfect
I had been studying for the final exams for several weeks before the test date.             ,past perfect continuous
We will be exploring the ancient ruins during our vacation in Greece.                          ,future continuous
The sun rises in the east every morning.                                                    ,present
I have always loved playing musical instruments.                                                ,present perfect
She will be taking a yoga class at the community center tomorrow.                             ,future continuous
He was reading a book when the phone rang.                                                 ,past continuous
I will be giving a presentation at the international conference next month.                  ,future continuous
"I had visited that museum before, but I still enjoy going there.                              ",past perfect
She is working on a top-secret project at her job.                                       ,present continuous
They will have completed the construction of the new building by the end of the year.       ,future perfect
I am currently writing a novel that I hope to publish next year.                             ,present continuous
She will have learned to speak five languages by the time she graduates from college.       ,future perfect
He had been traveling for weeks when he finally returned home.                               ,past perfect continuous
I am going to have dinner with my family tonight.                                             ,future
She will be attending a fashion show at a famous designer's studio tomorrow.                ,future continuous
"I have been practicing the piano for years, and I still enjoy it.                           ",present perfect continuous
We are renovating our house to make it more energy-efficient.                            ,present continuous
They were playing football in the park when it suddenly started raining.                      ,past continuous
I will have saved enough money to buy a new car by the end of the year.                   ,future perfect
She is eating breakfast while she reads the newspaper.                                  ,future continuous
She has been working at the same company for over a decade.                              ,present perfect continuous
I am currently developing a new mobile app for a startup company.                         ,present continuous
I will have finished reading this thick novel by next week.                               ,future perfect
He will be launching a new business venture next month.                                      ,future continuous
I had lived in a small village before I moved to the city for my job.                        ,past perfect
She is going to propose to her partner on their anniversary.                                 ,future
I will have been working at my current job for 10 years by the time I retire.         ,future perfect continuous
"The birds are singing in the garden, and the flowers are blooming.                      ",present continuous
He will be running in a marathon for charity next weekend.                                   ,future continuous
I have been studying for my medical degree for six years now.                            ,present perfect continuous
I am currently working on my doctoral dissertation.                                       ,present continuous
I will have saved enough money for a down payment on a house by next year.             ,future perfect
They will be biking in the mountains during their adventure tour next month.             ,future continuous
She was participating in a research project when she made a groundbreaking discovery.          ,past continuous
I am enjoying my vacation by traveling to various countries and exploring new cultures.    ,present continuous
She will have met her business goals by the end of the quarter.                          ,future perfect
They will be dancing and celebrating at the wedding reception tonight.                    ,future continuous
He is preparing for a challenging exam that will determine his future career path.         ,present continuous
I will be moving to a new city for a job opportunity that I've always dreamed of.            ,future continuous
She has been perfecting her culinary skills by cooking various dishes every day.         ,present perfect continuous
I am currently collaborating with international partners on a global health initiative.  ,present continuous
I will have achieved my fitness goals by the time I complete my training program.           ,future perfect
They will be singing and performing at the grand music festival next month.               ,future continuous
She had been studying hard for weeks before she aced her final exams.                      ,past perfect continuous
I am diving into a challenging research project that requires extensive data analysis.       ,present continuous
"I will be traveling to various countries, immersing myself in diverse cultures.               ",future continuous
I will have acquired the necessary skills and experience to excel in my new career by the time ,future perfect
I am eating dinner.                                        ,present
She will visit her grandparents next weekend.                ,future
He played football yesterday.                               ,past
I will be traveling to Europe next summer.                   ,future continuous
She is studying for her exams now.                          ,present continuous
He watched a great movie last night.                        ,past
We are planning a picnic for next week.                      ,future
The sun sets in the west.                                   ,present
I used to play the guitar when I was young.                 ,past
She will have graduated from college by then.                ,future perfect
I am writing a new book.                                    ,present continuous
They will be moving to a new city next month.                ,future continuous
She has been playing the piano for an hour.                 ,present perfect continuous
I will go shopping after work.                              ,future
I am currently traveling in Asia.                           ,present continuous
I will have saved enough money for a car by next year.       ,future perfect
He had been traveling for weeks before he came back.        ,past perfect continuous
She is participating in a marathon.                         ,present continuous
We will have our family reunion next week.                  ,future
The sun will rise in a few hours.                           ,future
I am currently studying for exams.                          ,present continuous
They will have completed the construction by the end of the month. ,future perfect
She will be presenting her research at the conference tomorrow. ,future continuous
I had lived in that city before.                            ,past perfect
I will have traveled to five countries by the end of the year. ,future perfect
The baby is sleeping peacefully.                           ,present continuous
I am going to the doctor this afternoon.                   ,future
She will have painted her house by the end of the summer.   ,future perfect
They were hiking in the mountains when they found the treasure.,past continuous
I am learning to play the guitar.                          ,present continuous
I will be visiting my grandparents next weekend.             ,future continuous
She has been practicing yoga for years.                   ,present perfect continuous
I am currently working on a new project.                   ,present continuous
I will have finished reading the novel by tomorrow.        ,future perfect
He will be presenting his art exhibition next month.        ,future continuous
I had attended the conference before.                       ,past perfect
They will have adopted a puppy by the end of the month.     ,future perfect
The flowers are blooming in the garden.                    ,present continuous
I am going to the gym this evening.                        ,future
I will have been working at this company for 10 years by next summer. ,future perfect continuous
The birds were chirping outside when I woke up.             ,past continuous
He is going to propose to his girlfriend tomorrow.         ,future
I will have saved enough money to buy a house by next year.  ,future perfect
She is cooking dinner in the kitchen.                      ,present continuous
I will be traveling to Japan in the spring.                ,future continuous
I have been living in this neighborhood for a decade.       ,present perfect continuous
I am enjoying my vacation on the beach.                    ,present continuous
I will have met my career goals by the end of the decade.    ,future perfect
They will be dancing at the party tomorrow night.          ,future continuous
I am taking a vacation next week.                            ,future
She will have graduated from college by then.                ,future perfect
I am writing a research paper.                                ,present continuous
They will be moving to a new city next month.                ,future continuous
She has been playing the piano for an hour.                ,present perfect continuous
I will go shopping after work.                                ,future
I am watching a documentary.                               ,present continuous
I will have saved enough money for a car by next year.    ,future perfect
He had been traveling for weeks.                             ,past perfect continuous
She is participating in the marathon.                       ,present continuous
We will have our family reunion next week.                  ,future
The sun will rise in a few hours.                            ,future
I am currently studying for exams.                           ,present continuous
They will have completed the construction by the end of the month.    ,future perfect
She will be presenting her research at the conference tomorrow.   ,future continuous
I had lived in that city before.                             ,past perfect
I will have traveled to five countries by the end of the year.    ,future perfect
The baby is sleeping peacefully.                           ,present continuous
I am going to the doctor this afternoon.                    ,future
She will have painted her house by the end of the summer.    ,future perfect
They were hiking in the mountains when they found the treasure.   ,past continuous
I am learning to play the guitar.                           ,present continuous
I will be visiting my grandparents next weekend.            ,future continuous
She has been practicing yoga for years.              ,present perfect continuous
I am currently working on a new project.                     ,present continuous
I will have finished reading the novel by tomorrow.        ,future perfect
He will be presenting his art exhibition next month.        ,future continuous
I had attended the conference before.                       ,past perfect
They will have adopted a puppy by the end of the month.     ,future perfect
The flowers are blooming in the garden.                     ,present continuous
I am going to the gym this evening.                        ,future
I will have been working at this company for 10 years by next summer.  ,future perfect continuous
The birds were chirping outside when I woke up.             ,past continuous
He is going to propose to his girlfriend tomorrow.           ,future
I will have saved enough money to buy a house by next year.   ,future perfect
She is cooking dinner in the kitchen.                       ,present continuous
I will be traveling to Japan in the spring.                 ,future continuous
I have been living in this neighborhood for a decade.        ,present perfect continuous
I am enjoying my vacation on the beach.                      ,present continuous
I will have met my career goals by the end of the decade.    ,future perfect
They will be dancing at the party tomorrow night.           ,future continuous
She is studying for her final exams.                    ,present continuous
I will visit my grandparents next weekend.             ,future
They had a great time at the party last night.         ,past
I am going to watch a movie this evening.               ,future
The sun sets in the west.                               ,present
He used to live in that old house.                      ,past
She will be traveling to Asia next summer.              ,future continuous
I have been working on this project for weeks.         ,present perfect continuous
They were dancing at the wedding when I arrived.        ,past continuous
He teaches English at the local school.                ,present
I will have completed my degree by next year.           ,future perfect
She has been painting the living room all day.          ,present perfect continuous
I will be sleeping by the time you come over.           ,future continuous
She had already left when I got to her house.           ,past perfect
I am reading a novel at the moment.                     ,present continuous
We will be hiking in the mountains next weekend.       ,future continuous
She will have finished her thesis by the end of the month. ,future perfect
They were swimming in the pool when it started raining.  ,past continuous
I am currently writing a report.                       ,present continuous
I will be traveling to Europe in the spring.            ,future continuous
I had completed the entire project before lunchtime.   ,past perfect
She will be attending a conference in New York next month. ,future continuous
He has been practicing the guitar for years.            ,present perfect continuous
I am eating breakfast right now.                       ,present
She will be going to the gym later today.              ,future
They played basketball yesterday evening.               ,past
I will have saved enough money for a new car by next year. ,future perfect
I am meeting my friends for dinner tonight.             ,present continuous
We will visit the museum on Saturday afternoon.         ,future
The sun rises in the morning.                          ,present
I used to be a professional chef.                       ,past
She will travel to South America next year.             ,future
He reads the newspaper every morning.                  ,present
I am taking a break after finishing the project.        ,present
They had visited that museum before it closed down.     ,past perfect
I will go shopping after work.                         ,future
She will be giving a presentation at the conference tomorrow. ,future continuous
I have been living in this city for a decade.            ,present perfect continuous
I am enjoying my vacation on the beach.                ,present continuous
I will have achieved my goals by the end of the year.    ,future perfect
She was singing when I entered the room.                 ,past continuous
They will be moving to a new city next month.            ,future continuous
He has been writing a book for a year.                 ,present perfect continuous
I am watching a documentary about nature.              ,present continuous
I will have saved enough money for a house by next year. ,future perfect
I am currently working on a new project.                ,present continuous
She will be cooking dinner later.                        ,future continuous
They were playing soccer when it started raining.         ,past continuous
I am going to the gym later in the day.                  ,future
She will have been working at this company for 10 years in June. ,future perfect continuous
The birds are chirping in the garden.                   ,present continuous
He will be presenting his art at the exhibition next week. ,future continuous
I had traveled to several countries before I turned 25.   ,past perfect
She will have painted her house by the end of the month.  ,future perfect
They were hiking in the mountains when they found a hidden cave. ,past continuous
I am writing a research paper for my class.             ,present continuous
I will be moving to a new apartment next year.          ,future continuous
She has been practicing yoga for a decade.              ,present perfect continuous
I am learning to play the piano.                         ,present continuous
I will have finished reading the novel by tomorrow.      ,future perfect
He will be traveling to Europe next summer.              ,future continuous
I had just started cooking when the guests arrived.     ,past perfect
The company has opened a new branch in the city.         ,present perfect
He will have graduated from college by the end of the year. ,future perfect
I am writing a research paper for my class.             ,present continuous
They will be moving to a new city next month.            ,future continuous
She has been playing the piano for an hour.             ,present perfect continuous
I will go shopping after work.                           ,future
I am watching a documentary about wildlife conservation. ,present continuous
I will have saved enough money for a car by next year.    ,future perfect
He had been traveling for weeks when he finally returned home. ,past perfect continuous
She is participating in a marathon.                    ,present continuous
We will have our family reunion next week.             ,future
The sun will rise in a few hours.                       ,future
I am currently studying for exams.                    ,present continuous
They will have completed the construction by the end of the month. ,future perfect
She will be presenting her research at the conference tomorrow. ,future continuous
I had lived in that city before.                       ,past perfect
I will have traveled to five countries by the end of the year. ,future perfect
The baby is sleeping peacefully.                      ,present continuous
I am going to the doctor this afternoon.                ,future
She will have painted her house by the end of the summer. ,future perfect
They were hiking in the mountains when they found the treasure. ,past continuous
I am learning to play the guitar.                     ,present continuous
I will be visiting my grandparents next weekend.       ,future continuous
She has been practicing yoga for years.                ,present perfect continuous
I am currently working on a new project.               ,present continuous
I will have finished reading the novel by tomorrow.     ,future perfect
He will be presenting his art exhibition next month.    ,future continuous
I had attended the conference before.                   ,past perfect
They will have adopted a puppy by the end of the month.  ,future perfect
The flowers are blooming in the garden.                ,present continuous
I am going to the gym this evening.                     ,future
I will have been working at this company for 10 years by next summer. ,future perfect continuous
The kids are playing in the yard.                      ,present continuous
They were talking on the phone when I called.          ,past continuous
I will go to the store after work.                      ,future
She has studied French for years.                       ,present perfect
He will have written the report by the end of the day.  ,future
She is practicing the piano in the living room.                ,present continuous
I will take a vacation next month.                             ,future
They visited the museum last weekend.                         ,past
I will be giving a presentation at the conference tomorrow.   ,future continuous
She is cooking dinner for the family.                        ,present continuous
He is going to propose to his girlfriend tomorrow.           ,future
I had traveled to that city before.                           ,past perfect
I am currently studying for my exams.                         ,present continuous
We will have our family reunion next week.                    ,future
The sun rises in the east every morning.                       ,present
I am reading a novel at the moment.                            ,present continuous
She will be traveling to Paris next summer.                  ,future continuous
He has been working on this project for months.             ,present perfect continuous
I will be moving to a new apartment next month.              ,future continuous
They had been playing football when it started raining.     ,past perfect continuous
I am going to the gym later.                                 ,future
I will have been working at this company for 10 years by June. ,future perfect continuous
The birds are singing in the garden.                        ,present continuous
He is currently giving a presentation.                       ,present continuous
I will have saved enough money by the end of the year.       ,future perfect
She is playing the guitar in her room.                      ,present continuous
I am writing a research paper for my class.                 ,present continuous
They will be hiking in the mountains next weekend.          ,future continuous
She has been painting the house for hours.                 ,present perfect continuous
I will be sleeping by the time you arrive.                  ,future continuous
I had already finished my work when you called.            ,past perfect
She was singing when I entered the room.                   ,past continuous
I am meeting my friends for lunch.                          ,present continuous
I will go shopping after work.                              ,future
They will have completed the construction by the end of the month. ,future perfect
She will be presenting her research at the conference tomorrow. ,future continuous
I had never been to that city before.                        ,past perfect
I am going to the doctor this afternoon.                    ,future
She will have painted her house by the end of the summer.     ,future perfect
They were hiking in the mountains when they found the treasure. ,past continuous
I am learning to play the guitar.                          ,present continuous
I will be visiting my grandparents next weekend.           ,future continuous
She has been practicing yoga for years.                    ,present perfect continuous
I am currently working on a new project.                   ,present continuous
I will have finished reading the novel by tomorrow.         ,future perfect
He will have graduated from college by the end of the year.  ,future perfect
I am writing a research paper for my class.                ,present continuous
They will be moving to a new city next month.              ,future continuous
She has been playing the piano for an hour.               ,present perfect continuous
I am going to the store later.                             ,future
I am watching a documentary about wildlife conservation.  ,present continuous
I will have saved enough money for a car by next year.       ,future perfect
He had been traveling for weeks before he returned home.   ,past perfect continuous
She is participating in a marathon.                       ,present continuous
We will have our family reunion next week.                ,future
The sun will rise in a few hours.                          ,future
I am currently studying for exams.                        ,present continuous
They will have completed the construction by the end of the month. ,future perfect
She will be presenting her research at the conference tomorrow. ,future continuous
I had lived in that city before.                          ,past perfect
I will have traveled to five countries by the end of the year. ,future perfect
The baby is sleeping peacefully.                         ,present continuous
I am going to the doctor this afternoon.                   ,future
She will have painted her house by the end of the summer.    ,future perfect
They were playing football when it started raining.       ,past continuous
I am working on a project.                                ,present continuous
I will be moving to a new apartment next month.           ,future continuous
She has been learning Spanish for a year.                ,present perfect continuous
I am reading a fascinating book.                         ,present continuous
I will have saved enough money by the end of the year.    ,future perfect
I am eating breakfast.                                   ,present
She will go to the park.                                 ,future
They played soccer yesterday.                           ,past
